IGNORE;MATERIAL_CATEGORY;MATERIAL_GROUP;MATERIAL_NUMBER;MATERIAL_NAME;DENSITY;PRICE_PER_KILO;SYNONYMS;SHOP_TYPE
1;Titan||Titanium||Titan Italian||Titan Czech;Ti;3.7035;TiCP Grade2;4.51;20.0;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.2510;100MnCrW4;7.85;1.8;;BOTH
1;Werkzeugstahl||Tool steel||Acciaio per utensili||Nástrojová ocel;VA;1.2842;90MnCrV8;7.9;9.0;;BOTH
0;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.3206;EN AW-6060 / AlMgSi;2.7;9.3;EN AW-6060||AlMgSi0,5||AlMgSi;BOTH
0;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.2315;EN AW-6082 / AlMgSi1;2.7;9.5;EN AW-6082||AlMgSi1;BOTH
0;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0036;S235JRG1;7.85;4.0;;BOTH
1;Werkzeugstahl||Tool steel||Acciaio per utensili||Nástrojová ocel;VA;1.2316;X38CrMo16;7.7;4.49;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0060;E 335;7.85;2.8;;BOTH
0;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4404;X2CrNiMo17;7.95;10.0;;BOTH
1;Kupfer||Copper||Rame||Copper;NE-ME;2.0402;CuZn40Pb2;8.44;3.4;;BOTH
1;Werkzeugstahl||Tool steel||Acciaio per utensili||Nástrojová ocel;VA;1.2436;X210CrW12;7.7;4.1;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0333;ST13;7.85;1.0;;BOTH
0;Kupfer||Copper||Rame||Copper;NE-ME;2.1030;CuSn8;8.79;16.0;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4841;X15CrNiSi25;7.9;3.6;;BOTH
1;Stahl (legiert)||Steel (alloyed)||Steel (alloyed)||Steel (alloyed);VA;1.7147;20MnCr5;7.75;4.0;;BOTH
1;Werkzeugstahl||Tool steel||Acciaio per utensili||Nástrojová ocel;VA;1.2344;X40CrMoV5;7.78;4.0;;BOTH
1;Werkzeugstahl||Tool steel||Acciaio per utensili||Nástrojová ocel;VA;1.2067;102Cr6;7.85;2.23;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.05031;C45;7.87;1.15;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0330;DC01;7.87;0.68;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4310;X10CrNi18;7.9;26.71;;BOTH
0;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4301;X5CrNi18;7.9;9.0;;BOTH
0;Aluminium||Aluminum||Alluminio||alluminio;Alu;2.4345;EPDM Premium (2);1.35;11.44;EN AW-7022||AlZn5Mg3Cu;BOTH
0;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.3547;EN AW-5083 / AlMg4.5Mn0.7;2.7;9.5;EN AW-5083||AlMg4,5Mn||AlMg4,5Mn0,7||AlMg4.5Mn;BOTH
0;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.3535;EN AW-5754 / AlMg3;2.7;9.0;EN AW-5754||AlMg3;BOTH
1;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.1645;AlCu4PbMgMn;2.7;3.83;EN AW-2007;BOTH
0;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.4365;EN AW-7075 / AlZn5;2.7;9.0;AlZn5||EN AW-7075;BOTH
1;Kupfer||Copper||Rame||Copper;NE-ME;2.0321;CuZn37;8.44;8.08;;BOTH
1;Guss||Cast iron||||;GU;5.1305;GJS-400-18;7.0;2.29;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4016;X6Cr17;7.9;3.21;;BOTH
