Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Change Password,Chrome 105.0.0.0,,,2022-10-07 22:58:08,2022-10-07 23:04:44,6m - 35.544s,ERROR
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3214 Verify change password successfully,Chrome 105.0.0.0,,,2022-10-07 22:58:17,2022-10-07 22:58:19,2.084s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:17,2022-10-07 22:58:19,1.573s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:19,2022-10-07 22:58:19,0.342s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 22:58:26,2022-10-07 22:58:28,2.003s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:26,2022-10-07 22:58:27,1.527s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:27,2022-10-07 22:58:28,0.346s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 22:58:34,2022-10-07 22:58:36,2.053s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:34,2022-10-07 22:58:36,1.525s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:36,2022-10-07 22:58:36,0.358s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 22:58:42,2022-10-07 22:58:44,1.963s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:42,2022-10-07 22:58:44,1.490s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:44,2022-10-07 22:58:44,0.347s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 22:58:50,2022-10-07 22:58:52,2.002s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:50,2022-10-07 22:58:52,1.537s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:52,2022-10-07 22:58:52,0.344s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 22:58:58,2022-10-07 22:59:01,2.168s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 22:58:58,2022-10-07 22:59:00,1.692s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 22:59:00,2022-10-07 22:59:01,0.351s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 22:59:07,2022-10-07 22:59:09,2.021s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 22:59:07,2022-10-07 22:59:08,1.548s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 22:59:08,2022-10-07 22:59:09,0.360s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 22:59:15,2022-10-07 22:59:17,2.003s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 22:59:15,2022-10-07 22:59:16,1.530s,PASSED
